,bee,lecty,lifestyle,host.plant,source,min.day,max.day,med.day,n.day,n.obs,n.spec,phen,wmpd,n.lect,s.lect,cucurbit,sunflower,tomato
167,Melissodes stearnsi,olig,solitary,NA,,156,277,218,31,49,238,121,142,235,16,0,0,0
168,Melissodes tepidus,NA,NA,NA,,120,272,200,61,83,253,152,156,231,32,0,0,0
169,Neopasites sierrae,NA,NA,NA,,103,103,103,1,1,1,0,NA,1,1,0,0,0
170,Osmia aglaia,poly,solitary,NA,,100,176,135,13,15,52,76,200,51,13,0,0,0
171,Osmia albolateralis,NA,NA,NA,,105,172,138.5,4,4,4,67,NA,NA,NA,0,0,0
172,Osmia atrocyanea,poly,solitary,NA,,79,142,113,15,20,36,63,90,27,9,0,0,0
173,Osmia bakeri,NA,NA,NA,,103,103,103,1,1,1,0,NA,1,1,0,0,0
174,Osmia californica,NA,NA,NA,,104,135,119.5,2,2,2,31,119,2,2,0,0,0
175,Osmia cara,uk,solitary,NA,,91,157,112.5,13,17,40,66,109,40,11,0,0,0
176,Osmia coloradensis,olig,solitary,NA,,82,191,132.5,10,12,14,109,68,13,7,0,0,0
177,Osmia cyanella,uk,solitary,NA,,101,153,132,10,13,39,52,145,39,8,0,0,0
178,Osmia densa,NA,NA,NA,,110,142,127,5,5,6,32,118,6,3,0,0,0
179,Osmia glauca,olig,solitary,NA,,84,133,99,12,14,17,49,174,17,9,0,0,0
180,Osmia granulosa,uk,solitary,NA,,55,181,135,22,30,67,126,197,53,19,0,0,0
181,Osmia laeta,poly,solitary,NA,,82,179,142,21,29,62,97,152,42,14,0,0,0
182,Osmia lignaria,poly,solitary,NA,,50,132,95.5,12,12,14,82,167,13,7,0,0,0
183,Osmia montana,olig,solitary,NA,,89,135,96,5,5,12,46,127,12,6,0,0,0
184,Osmia nemoris,poly,solitary,NA,,79,189,141,34,55,223,110,252,87,24,0,0,0
185,Osmia nigrifrons,olig,solitary,NA,,133,133,133,1,1,1,0,NA,1,1,0,0,0
186,Osmia pusilla,NA,NA,NA,,136,141,138.5,2,2,2,5,NA,NA,NA,0,0,0
187,Osmia regulina,poly,solitary,NA,,105,219,142,25,43,282,114,197,85,29,0,0,0
188,Osmia texana,poly,solitary,NA,,101,227,171,14,18,55,126,130,33,8,0,0,0
189,Panurginus atriceps,NA,NA,NA,,76,76,76,1,1,1,0,NA,1,1,0,0,0
190,Panurginus nigrellus,poly,solitary,NA,,86,157,92,15,29,135,71,205,135,24,1,0,0
191,Peponapis pruinosa,olig,solitary,Cucurbitaceae,,153,233,187,59,111,566,80,79,508,20,0,0,0
192,Perdita heliotropii,olig,solitary,NA,,210,220,220,2,2,4,10,NA,4,1,0,0,0
193,Protosmia rubifloris,poly,solitary,NA,,89,156,102,12,17,25,67,228,25,15,0,0,0
194,Stelis laticincta,NA,NA,NA,,161,172,172,2,2,4,11,NA,1,1,0,0,0
195,Stelis montana,NA,parasite,NA,,171,171,171,1,1,1,0,NA,1,1,0,0,0
196,Svastra obliqua,olig,solitary,NA,,148,300,198.5,69,98,676,152,35,670,20,0,1,0
